Projet	Titre du projet	Title Translated	Engagement de GdB (USD)	Descriptif	Agence de financement	Source de Financement	Région	Province	Commune	A l’Echelle National	Secteur	Sous-Secteur
BDI/000012	Gender-based Violence and Response	Gender-based Violence and Response			United States Agency for International Development	États Unis d'Amérique	Sud	Makamba	Non spécifié	Non	GOUVERNEMENT ET SOCIETE CIVILE	Organisations et institutions pour l’égalité des femmes
BDI/000013	Health Care Support and Nutrition	Health Care Support and Nutrition			United States Agency for International Development	États Unis d'Amérique	Sud	Rutana; Bururi; Makamba	Non spécifié	Non	SANTE	Nutrition de base
BDI/000014	Mise en oeuvre le PNA 1325	Mise en oeuvre le PNA 1325			Pays Bas	Pays-Bas	Sud; Ouest; Centre-Est; Nord	Kayanza; Muyinga; Ngozi; Cankuzo; Bubanza; Rutana; Mwaro; Kirundo; Muramvya; Bujumbura Rural; Mairie de Bujumbura; Ruyigi; Bururi; Makamba; Gitega; Cibitoke; Karuzi	Non spécifié	Oui	GOUVERNEMENT ET SOCIETE CIVILE	Prévention et règlement des conflits, paix et sécurité
BDI/000015	Shelter, Sanitation and Food Production	Shelter, Sanitation and Food Production			United States Agency for International Development	États Unis d'Amérique	Sud	Rutana	Non spécifié	Non	SANTE	Santé, général
BDI/000016	Food Security, Education and Environment	Food Security, Education and Environment			United States Agency for International Development	États Unis d'Amérique	Centre-Est	Ruyigi	Non spécifié	Non	DESTINATION  PLURI-SECTO-RIELLE OU TRANSVERSALE	Éducation et formation environnementales
BDI/000017	Education and Livelihood Project	Education and Livelihood Project			United States Agency for International Development	États Unis d'Amérique	Sud	Makamba	Non spécifié	Non	EDUCATION	Éducation pour une meilleure qualité de vie pour les jeunes et les adultes
BDI/000018	Access to Basic Education	Access to Basic Education			United States Agency for International Development	États Unis d'Amérique	Sud	Bururi; Makamba	Non spécifié	Non	EDUCATION	Éducation de base
BDI/000019	Health Promotion	Health Promotion			United States Agency for International Development	États Unis d'Amérique	Centre-Est	Ruyigi	Non spécifié	Non	SANTE	Politique de la santé et gestion administrative
BDI/000020	Resettlement Assistance	Resettlement Assistance			United States Agency for International Development	États Unis d'Amérique	Sud	Rutana	Non spécifié	Non	GOUVERNEMENT ET SOCIETE CIVILE	Gouvernement et société civile, général
BDI/000021	Sustainable reintegration	Sustainable reintegration			United States Agency for International Development	États Unis d'Amérique	Sud	Makamba	Non spécifié	Non	GOUVERNEMENT ET SOCIETE CIVILE	Gouvernement et société civile, général
BDI/000022	Fruit Processing	Fruit Processing			United States Agency for International Development	États Unis d'Amérique	Ouest	Bujumbura Rural	Non spécifié	Non	AGRICULTURE	Production agricole
BDI/000023	MicroFinance (CECM)	MicroFinance (CECM)			United States Agency for International Development	États Unis d'Amérique	Ouest	Mairie de Bujumbura	Non spécifié	Non	CONCOURS FOURNIS AUX ORGANISATIONS NON-GOUVERNEMENTALES	En faveur des ONG nationales
BDI/000024	Agro-Processing	Agro-Processing			United States Agency for International Development	États Unis d'Amérique	Sud; Ouest; Centre-Est; Nord	Kayanza; Muyinga; Ngozi; Cankuzo; Bubanza; Rutana; Mwaro; Kirundo; Muramvya; Bujumbura Rural; Mairie de Bujumbura; Ruyigi; Bururi; Makamba; Gitega; Cibitoke; Karuzi	Non spécifié	Oui	AGRICULTURE	Développement agricole
BDI/000025	Agricultural Production (AVIDEL)	Agricultural Production (AVIDEL)			United States Agency for International Development	États Unis d'Amérique	Ouest	Muramvya	Non spécifié	Non	AGRICULTURE	Production agricole
BDI/000026	Legal Rights for Street Children	Legal Rights for Street Children			United States Agency for International Development	États Unis d'Amérique	Ouest	Mairie de Bujumbura	Non spécifié	Non	GOUVERNEMENT ET SOCIETE CIVILE	Gouvernement et société civile, général
BDI/000027	Intergroupement Ishaka	Intergroupement Ishaka			United States Agency for International Development	États Unis d'Amérique	Ouest	Bujumbura Rural	Non spécifié	Non	GOUVERNEMENT ET SOCIETE CIVILE	Renforcement de la société civile
BDI/000028	Pineapple Production	Pineapple Production			United States Agency for International Development	États Unis d'Amérique	Nord	Muyinga	Non spécifié	Non	AGRICULTURE	Production agricole
BDI/000029	Femmes Pour la Paix	Women for Peace			United States Agency for International Development	États Unis d'Amérique	Ouest	Bujumbura Rural	Non spécifié	Non	GOUVERNEMENT ET SOCIETE CIVILE	Gouvernement et société civile, général
BDI/000030	Gwizumwimbu ASBL	Gwizumwimbu ASBL			United States Agency for International Development	États Unis d'Amérique	Nord	Ngozi	Non spécifié	Non	GOUVERNEMENT ET SOCIETE CIVILE	Gouvernement et société civile, général
BDI/000031	Rice Production	Rice Production			United States Agency for International Development	États Unis d'Amérique	Nord	Ngozi	Non spécifié	Non	AGRICULTURE	Production agricole
BDI/000032	Agro-Biotechnology	Agro-Biotechnology			United States Agency for International Development	États Unis d'Amérique	Ouest	Bujumbura Rural	Non spécifié	Non	AGRICULTURE	Production agricole
BDI/000033	Potatoes and Milk Production	Potatoes and Milk Production			United States Agency for International Development	États Unis d'Amérique	Sud	Mwaro	Non spécifié	Non	AGRICULTURE	Production agricole
BDI/000034	Contribution à l'allègement de la flambée des prix des denrées alimentaires par l'amélioration des capacités de production des associations exploitant les périmètres irrigués de l'Imbo.	Contribution to the alleviation of soaring food prices by improving the capacity of farmer associations irrigated areas Imbo.			Commission de l'Union Européenne	Commission de l'Union Européenne	Ouest	Bubanza; Bujumbura Rural	Non spécifié	Non	AGRICULTURE	Production agricole
BDI/000035	Assistance to the restoration of food security and livelihoods through the provision	Assistance to the restoration of food security and livelihoods through the provision			Japon	Japon	Centre-Est	Ruyigi	Non spécifié	Non	AIDE HUMANITAIRE	Intervention d’urgence
BDI/000036	Appui à la mise en place et l'adoption rapide du système de certification de semences par les producteurs privés les organisations paysannes agricoles(OPA)	Support the establishment and rapid adoption of the certification system by private seed producers agricultural farmer organizations (OPA)			Belgique	Belgique	Sud; Ouest; Centre-Est; Nord	Kayanza; Muyinga; Ngozi; Cankuzo; Bubanza; Rutana; Mwaro; Kirundo; Muramvya; Bujumbura Rural; Mairie de Bujumbura; Ruyigi; Bururi; Makamba; Gitega; Cibitoke; Karuzi	Non spécifié	Oui	AGRICULTURE	Produits à usage agricole
BDI/000038	Support des ménages vulnérables pour améliorer leurs moyens d'existence et renforcement institutionnel de la surveillance de la sécurité alimentaire au Burundi.	Support for vulnerable households to improve their livelihoods and institutional strengthening of the surveillance of food security in Burundi.			Commission de l'Union Européenne	Commission de l'Union Européenne	Nord	Muyinga; Ngozi; Kirundo	Non spécifié	Non	AIDE HUMANITAIRE	Prévention des catastrophes et préparation à leur survenue
BDI/000039	Autonomisation agro-économique des ménages vulnérables dans les provinces de Bujumbura Rural, Bururi, Makamba, Rutana, Gitega et Mwaro.	Agro-economic empowerment of vulnerable households in the provinces of Bujumbura Rural, Bururi, Makamba, Rutana, Gitega and Mwaro.			Sida	Suède	Sud; Ouest; Centre-Est	Rutana; Mwaro; Bujumbura Rural; Bururi; Makamba; Gitega	Non spécifié	Non	AGRICULTURE	Développement agricole
BDI/000040	Adresser la problématique  du VIH et des inégalités de genre par une réponse de sécurité alimentaire et de nutrition en Afrique centrale et de l'Est.	Address the issue of HIV and gender inequality by a response from food security and nutrition in Central and East Africa.			Ministère des affaires étrangères de la Suède	Suède	Sud; Ouest; Centre-Est; Nord	Ngozi; Mairie de Bujumbura; Bururi; Gitega	Non spécifié	Non	AIDE HUMANITAIRE	Aide alimentaire d’urgence
BDI/000041	Programme LRRD d'appui à la viabilisation des villages ruraux intégrés dans le cadre du rapatriement et de la réintégration au Burundi	LRRD support servicing integrated within the rural villages repatriation and reintegration program in Burundi		contribute to unblock the political stalemate in Burundi, avoiding regression into the upcoming political and humanitarian crisis, engendering sufficient trust between the main political parties.	Commission de l'Union Européenne	Commission de l'Union Européenne	Sud	Rutana; Bururi; Makamba	Non spécifié	Non	CONSTRUCTION	Politique de la construction et gestion administrative
BDI/000042	Appui à la réinsertion des populations vulnérables rapatriés des provinces du Sud du Burundi en vue de reprendre les activités agricoles	Support the reintegration of vulnerable returnees in the southern provinces of Burundi to resume agricultural activities			Austrarian Foreign Ministry	Australie	Sud	Makamba	Non spécifié	Non	AGRICULTURE	Développement agricole
BDI/000043	Disaster Preparedness for Food Security Risks in the Great Lakes Region Improving responses to the threat of banana diseases.	Disaster Preparedness for Food Security Risks in the Great Lakes Region Improving responses to the threat of banana diseases.			Belgique	Belgique	Sud; Centre-Est	Cankuzo; Rutana; Ruyigi; Makamba	Non spécifié	Non	AIDE HUMANITAIRE	Aide alimentaire d’urgence
BDI/000044	Assistance agricole aux rapatriés récents, aux ménages vulnérabilisés par les perturbations climatiques et aux personnes déplacées dans les zones périurbaines touchées par la flambée des prix et l'accès limité à la terre.	Agricultural assistance to recent returnees, households vulnerable by climate perturbations and displaced in suburban areas affected by soaring prices and limited access to land people.			Belgique	Belgique	Ouest; Centre-Est; Nord	Ngozi; Mairie de Bujumbura; Gitega	Non spécifié	Non	AGRICULTURE	Services agricoles
BDI/000045	Rice & Potato Production	Rice & Potato Production			United States Agency for International Development	États Unis d'Amérique	Ouest	Bujumbura Rural	Non spécifié	Non	AGRICULTURE	Production agricole
BDI/000046	Emergency Feeding Program	Emergency Feeding Program			United States Agency for International Development	États Unis d'Amérique	Centre-Est; Nord	Muyinga; Kirundo; Ruyigi; Karuzi	Non spécifié	Non	AIDE HUMANITAIRE	Aide alimentaire d’urgence
BDI/000047	Food AID Nutrition Enhancement (FANEP)	Food AID Nutrition Enhancement (FANEP)			United States Agency for International Development	États Unis d'Amérique	Nord	Muyinga	Non spécifié	Non	AIDE HUMANITAIRE	Intervention d’urgence
BDI/000048	Projet Education-Enfants en difficulté	Education-Child project in trouble			PRIVE	Privé	Nord	Ngozi; Kirundo	Non spécifié	Non	EDUCATION	Éducation de la petite enfance
BDI/000049	Lentil Food Supplementation	Lentil Food Supplementation			United States Agency for International Development	États Unis d'Amérique	Nord	Kirundo	Non spécifié	Non	AIDE HUMANITAIRE	Aide alimentaire d’urgence
BDI/000050	Appui à l'Education nationale	Support for Education			DENMARK Ministry of Foreign Affairs; Ministère des affaires Etrangères Italiennes; Ministère des Affaires Etrangères Japonaises	Danemark; Italie; Japon	Sud; Ouest; Centre-Est; Nord	Kayanza; Muyinga; Ngozi; Cankuzo; Bubanza; Rutana; Mwaro; Kirundo; Muramvya; Bujumbura Rural; Mairie de Bujumbura; Ruyigi; Bururi; Makamba; Gitega; Cibitoke; Karuzi	Non spécifié	Oui	EDUCATION	Politique de l’éducation et gestion administrative
BDI/000051	Lutte contre VIH/SIDA	Fight against HIV / AIDS			ONUSIDA	Nations Unies	Sud; Ouest; Centre-Est; Nord	Kayanza; Muyinga; Ngozi; Cankuzo; Bubanza; Rutana; Mwaro; Kirundo; Muramvya; Bujumbura Rural; Mairie de Bujumbura; Ruyigi; Bururi; Makamba; Gitega; Cibitoke; Karuzi	Non spécifié	Oui	SANTE	Politique de la santé et gestion administrative; Services médicaux
BDI/000052	Budget programme régulier des Sciences humaines et Sociales(2010-2011)	Budget regular program of Human and Social Sciences (2010-2011)			UNESCO	Nations Unies	Non spécifié	Non spécifié	Non spécifié	Non	GOUVERNEMENT ET SOCIETE CIVILE	Administration gouvernementale
BDI/000053	Budget programme régulier Communication et Information	Regular budget program Communication and Information			UNESCO	Nations Unies	Sud; Ouest; Centre-Est; Nord	Kayanza; Muyinga; Ngozi; Cankuzo; Bubanza; Rutana; Mwaro; Kirundo; Muramvya; Bujumbura Rural; Mairie de Bujumbura; Ruyigi; Bururi; Makamba; Gitega; Cibitoke; Karuzi	Non spécifié	Oui	COMMUNICATIONS	Technologies de l’information et de la communication (TIC)
BDI/000054	Budget programme culture	Budget programme culture			UNESCO	Nations Unies	Sud; Ouest; Centre-Est; Nord	Kayanza; Muyinga; Ngozi; Cankuzo; Bubanza; Rutana; Mwaro; Kirundo; Muramvya; Bujumbura Rural; Mairie de Bujumbura; Ruyigi; Bururi; Makamba; Gitega; Cibitoke; Karuzi	Non spécifié	Oui	GOUVERNEMENT ET SOCIETE CIVILE	Gouvernement et société civile, général
BDI/000055	Budget programme régulier Education	Education regular program budget			UNESCO	Nations Unies	Sud; Ouest; Centre-Est; Nord	Kayanza; Muyinga; Ngozi; Cankuzo; Bubanza; Rutana; Mwaro; Kirundo; Muramvya; Bujumbura Rural; Mairie de Bujumbura; Ruyigi; Bururi; Makamba; Gitega; Cibitoke; Karuzi	Non spécifié	Oui	EDUCATION	Éducation, niveau non spécifié
BDI/000056	Energie renouvelable	Renewable Energy			Pays Bas	Pays-Bas	Ouest	Bubanza; Bujumbura Rural; Cibitoke	Non spécifié	Non	PRODUCTION ET DISTRIBUTION D’ENERGIE	Production d’énergie (sources renouvelables)
BDI/000057	President's Emergency Program for AIDS Relief (Supply Chain Management)	President's Emergency Program for AIDS Relief (Supply Chain Management)		Lutte contre le SIDA	Etats Unis d'Amérique	États Unis d'Amérique	Sud; Ouest; Centre-Est; Nord	Kayanza; Muyinga; Ngozi; Cankuzo; Bubanza; Rutana; Mwaro; Kirundo; Muramvya; Bujumbura Rural; Mairie de Bujumbura; Ruyigi; Bururi; Makamba; Gitega; Cibitoke; Karuzi	Non spécifié	Oui	SANTE	Lutte contre les maladies infectieuses
BDI/000058	President's Emergency Program for AIDS Relief (PTME)	President's Emergency Program for AIDS Relief (PTME)			Etats Unis d'Amérique	États Unis d'Amérique	Ouest; Centre-Est; Nord	Ngozi; Bujumbura Rural; Mairie de Bujumbura; Karuzi	Non spécifié	Non	SANTE	Lutte contre les maladies infectieuses
BDI/000059	President's Emergency Programm for AIDS Relief (Appui au système de gestion de l'information)	President's Emergency Programm for AIDS Relief (Support System Information Management)			Etats Unis d'Amérique	États Unis d'Amérique	Sud; Ouest; Centre-Est; Nord	Kayanza; Muyinga; Ngozi; Cankuzo; Bubanza; Rutana; Mwaro; Kirundo; Muramvya; Bujumbura Rural; Mairie de Bujumbura; Ruyigi; Bururi; Makamba; Gitega; Cibitoke; Karuzi	Non spécifié	Oui	SANTE	Lutte contre les maladies infectieuses
BDI/000060	President's Emergency Programm for AIDS Relief (Qualité assurance)	President's Emergency Programm for AIDS Relief (Qualité assurance)			Etats Unis d'Amérique	États Unis d'Amérique	Centre-Est; Nord	Kayanza; Muyinga; Kirundo; Karuzi	Non spécifié	Non	SANTE	Lutte contre les maladies infectieuses
BDI/000061	Santé et Droits reproductifs et Sexuels	Health and Human Reproductive and Sexual			Pays Bas	Pays-Bas	Sud; Ouest; Centre-Est; Nord	Kayanza; Muyinga; Ngozi; Cankuzo; Bubanza; Rutana; Mwaro; Kirundo; Muramvya; Bujumbura Rural; Mairie de Bujumbura; Ruyigi; Bururi; Makamba; Gitega; Cibitoke; Karuzi	Non spécifié	Oui	SANTE	Santé de base
BDI/000062	Appui à la CNIDH	Support for CNIDH			Pays Bas	Pays-Bas	Sud; Ouest; Centre-Est; Nord	Kayanza; Muyinga; Ngozi; Cankuzo; Bubanza; Rutana; Mwaro; Kirundo; Muramvya; Bujumbura Rural; Mairie de Bujumbura; Ruyigi; Bururi; Makamba; Gitega; Cibitoke; Karuzi	Non spécifié	Oui	GOUVERNEMENT ET SOCIETE CIVILE	Droits de la personne
BDI/000063	Appui à la stabilité	Appui à la stabilité			Pays Bas	Pays-Bas	Non spécifié	Non spécifié	Non spécifié	Non	GOUVERNEMENT ET SOCIETE CIVILE	Administration gouvernementale
BDI/000064	Appui à la promotion du renforcement des capacités	Support for the promotion of capacity building			Programme des Nations Unies pour le Développement	Nations Unies	Sud; Ouest; Centre-Est; Nord	Kayanza; Muyinga; Ngozi; Cankuzo; Bubanza; Rutana; Mwaro; Kirundo; Muramvya; Bujumbura Rural; Mairie de Bujumbura; Ruyigi; Bururi; Makamba; Gitega; Cibitoke; Karuzi	Non spécifié	Oui	GOUVERNEMENT ET SOCIETE CIVILE	Gouvernement et société civile, général
BDI/000065	Biodiversités et aires protégées	And biodiverse protected areas		C'est un projet d'appui à l'amélioration de l'efficacité du système de gestion des aires protégées pour la conservation de la biodiversité du Burundi à travers l'engagement des parties prenantes. Il vise: -le renforcement des capacités institutionnelles pour une gestion participative du système des aires protégées -l'amélioration de la gestion participative des parcs nationaux de la kibira et de la Ruvubu -Promotion de l'intégration régionale à travers les programmes transfrontaliers de conservation de la biodiversité entre les pays riverains (Rwanda et Tanzanie)	Fonds Mondial de l'Environnement; Programme des Nations Unies pour le Développement	Nations Unies	Centre-Est	Gitega; Karuzi	Non spécifié	Non	NON AFFECTE/ NON SPECIFIE	Secteur non spécifié
BDI/000066	Economic Reform Support Grant V(ERSG V)	Economic Reform Support Grant V (V ERSG)			Association Internationale de Développement (Banque Mondiale); Norvège	Banque mondiale; Norvège	Sud; Ouest; Centre-Est; Nord	Kayanza; Muyinga; Ngozi; Cankuzo; Bubanza; Rutana; Mwaro; Kirundo; Muramvya; Bujumbura Rural; Mairie de Bujumbura; Ruyigi; Bururi; Makamba; Gitega; Cibitoke; Karuzi	Non spécifié	Oui	GOUVERNEMENT ET SOCIETE CIVILE	Administration gouvernementale
BDI/000067	Disponibilité des médicaments essentiels	Availability of essential drugs			Department for International Development (DFID)	Royaume-Uni	Sud; Ouest; Centre-Est; Nord	Kayanza; Muyinga; Ngozi; Cankuzo; Bubanza; Rutana; Mwaro; Kirundo; Muramvya; Bujumbura Rural; Mairie de Bujumbura; Ruyigi; Bururi; Makamba; Gitega; Cibitoke; Karuzi	Non spécifié	Oui	SANTE	Santé de base
BDI/000068	Handicap international(disabled ex-combattants)	Handicap international(disabled ex-combattants)			Sida	Suède	Non spécifié	Non spécifié	Non spécifié	Non	GOUVERNEMENT ET SOCIETE CIVILE	Prévention et règlement des conflits, paix et sécurité
BDI/000069	Projet de Gestion Environnementale du Lac VictoriaII (LVEMP)PhaseII	Draft Environmental Management of Lake VictoriaII (LVEMP) PhaseII	73362		Association Internationale de Développement (Banque Mondiale)	Banque mondiale	Sud; Ouest; Centre-Est; Nord	Kayanza; Muyinga; Ngozi; Rutana; Mwaro; Kirundo; Muramvya; Ruyigi; Makamba	Non spécifié	Non	DISTRIBUTION D’EAU ET ASSAINISSEMENT	Politique des ressources en eau et gestion administrative
BDI/000070	Projet d'urgence pour le secteur de l'Electricité (PURSE)	Emergency Sector Project of Electricity (PURSE)		Améliorer la capacité et la fiabilité de la production, du transport et de la distribution de l'énergie électrique au Burundi	Association Internationale de Développement (Banque Mondiale)	Banque mondiale	Sud; Ouest; Centre-Est; Nord	Kayanza; Muyinga; Ngozi; Cankuzo; Bubanza; Rutana; Mwaro; Kirundo; Muramvya; Bujumbura Rural; Mairie de Bujumbura; Ruyigi; Bururi; Makamba; Gitega; Cibitoke; Karuzi	Non spécifié	Oui	INFRASTRUCTURE ET SERVICES SOCIAUX DIVERS	Services sociaux
BDI/000072	Améliorer les conditions de travail des femmes dans le commerce informel transfrontalier	Improve the working conditions of women in informal cross-border trade			ONUFEMMES	Nations Unies	Non spécifié	Non spécifié	Non spécifié	Non	ENTREPRISES ET AUTRES SERVICES	Services et institutions de soutien commerciaux
BDI/000073	Projet d'Appui à la mise en oeuvre coordonnée de la stratégie nationale de lutte contre le VBG au Burundi	Support Project for the coordinated implementation of the national strategy for the fight against GBV in Burundi			United Nations Trust Fund	Nations Unies	Sud; Ouest; Centre-Est; Nord	Kayanza; Muyinga; Cankuzo; Rutana; Makamba; Cibitoke	Non spécifié	Non	GOUVERNEMENT ET SOCIETE CIVILE	Gouvernement et société civile, général
BDI/000074	Consultations nationales sur les VGB dans le cadre de la préparation des sommets des chefs d'Etat de la CIRGL	National consultations on VGB under preparation Summits of Heads of State of the ICGLR			ONUFEMMES	Nations Unies	Non spécifié	Non spécifié	Non spécifié	Non	GOUVERNEMENT ET SOCIETE CIVILE	Droits de la personne
BDI/000075	Mise en place du Forum national des femmes	Establishment of the National Women's Forum			ONUFEMMES	Nations Unies	Non spécifié	Non spécifié	Non spécifié	Non	GOUVERNEMENT ET SOCIETE CIVILE	Administration gouvernementale
BDI/000076	Renforcement des capacités du Parlement	Capacity building of the Parliament			ONUFEMMES	Nations Unies	Non spécifié	Non spécifié	Non spécifié	Non	GOUVERNEMENT ET SOCIETE CIVILE	Administration gouvernementale
BDI/000077	16 jours d'activisme contre les violences basées sur le genre(VBG)	16 days of activism against gender-based violence (GBV)			ONUFEMMES	Nations Unies	Non spécifié	Non spécifié	Non spécifié	Non	GOUVERNEMENT ET SOCIETE CIVILE	Droits de la personne
BDI/000078	Appui à la célébration de la Journée  Internationale de la femme( IWD-803 2011)	Support for the celebration of International Women's Day (IWD-803 2011)			ONUFEMMES	Nations Unies	Non spécifié	Non spécifié	Non spécifié	Non	GOUVERNEMENT ET SOCIETE CIVILE	Administration gouvernementale
BDI/000080	Burundi election initiative for Women participation	Burundi election initiative for Women participation			Fonds des Nations Unies pour la Consolidation de la Paix (FNUCP)); ONUFEMMES	Nations Unies	Non spécifié	Non spécifié	Non spécifié	Non	GOUVERNEMENT ET SOCIETE CIVILE	Élections
BDI/000081	Programme intégré" Consolidation de la paix à travers l'appui à la réintégration socio-économique durable en faveur  des personnes affectées par le conflit	Integrated program "Consolidation of peace through support for sustainable socio-economic reintegration for people affected by the conflict			Fonds des Nations Unies pour la Consolidation de la Paix (FNUCP)); ONUFEMMES	Nations Unies	Ouest	Bubanza; Bujumbura Rural; Mairie de Bujumbura; Cibitoke	Non spécifié	Non	GOUVERNEMENT ET SOCIETE CIVILE	Administration gouvernementale
BDI/000082	Junior Professional Officer - JPO - PAM - Expert Associé - Evaluation de vulnérabilité et de cartographie (VAM)	Junior Professional Officer - JPO - PAM - Associate Expert - Vulnerability Assessment and Mapping (VAM)			Belgique	Belgique	Ouest; Centre-Est	Mairie de Bujumbura; Gitega	Non spécifié	Non	GOUVERNEMENT ET SOCIETE CIVILE	Administration gouvernementale
BDI/000083	Appui à la prise en compte du Genre dans le CSLPII	Support the inclusion of gender in the CSLPII			ONUFEMMES	Nations Unies	Non spécifié	Non spécifié	Non spécifié	Non	GOUVERNEMENT ET SOCIETE CIVILE	Organisations et institutions pour l’égalité des femmes
BDI/000084	UNV  - UNDP - Projet de réintégration durable des ex-combatants	UNV - UNDP - Project sustainable reintegration of ex-combatants			Belgique	Belgique	Ouest	Mairie de Bujumbura	Non spécifié	Non	GOUVERNEMENT ET SOCIETE CIVILE	Prévention et règlement des conflits, paix et sécurité
BDI/000085	Appui à la production statistique désagrégée par sexe	Support statistical production disaggregated by sex			ONUFEMMES	Nations Unies	Non spécifié	Non spécifié	Non spécifié	Non	DESTINATION  PLURI-SECTO-RIELLE OU TRANSVERSALE	Autres multi secteurs
BDI/000086	IOM - Migration pour le développement en Afrique - MIDA	IOM - Migration for Development in Africa - MIDA			Belgique	Belgique	Sud; Ouest; Centre-Est; Nord	Kayanza; Muyinga; Ngozi; Cankuzo; Bubanza; Rutana; Mwaro; Kirundo; Muramvya; Bujumbura Rural; Mairie de Bujumbura; Ruyigi; Bururi; Makamba; Gitega; Cibitoke; Karuzi	Non spécifié	Oui	GOUVERNEMENT ET SOCIETE CIVILE	Administration gouvernementale
BDI/000087	UNV-UNDP-Reporting Officer-Assistant to the Country Advisor	UNV-UNDP-Reporting Officer-Assistant to the Country Advisor			Belgique	Belgique	Sud; Ouest; Centre-Est; Nord	Kayanza; Muyinga; Ngozi; Cankuzo; Bubanza; Rutana; Mwaro; Kirundo; Muramvya; Bujumbura Rural; Mairie de Bujumbura; Ruyigi; Bururi; Makamba; Gitega; Cibitoke; Karuzi	Non spécifié	Oui	GOUVERNEMENT ET SOCIETE CIVILE	Administration gouvernementale
